id,tema,id_predmet
1,Logične strukture,1
2,Grafi in drevesa,1
3,Kombinatorika,1
4,Relacije in preslikave,1

5,Linearne DE,2
6,Ločljive DE,2
7,Sistemi DE,2
8,Stabilnost rešitev,2

9,Meritve in napake,3
10,Osnovni eksperimenti,3
11,Obdelava podatkov,3
12,Uporaba senzorjev,3

13,Integrali,4
14,Limite,4
15,Odvodi,4
16,Vrste,4

17,LU-razcep,5
18,Cholesky razcep,5
19,Iterativne metode,5
20,Reševanje linearnih sistemov,5

21,Relacijski modeli,6
22,SQL poizvedbe,6
23,SQL in Python,6
24,Bottle,6

25,Objektno programiranje,7
26,Dedovanje,7
27,Rekurzija,7
28,Strukture podatkov,7

29,Opisna statistika,8
30,Intervali zaupanja,8
31,Testiranje hipotez,8
32,Regresija,8

33,Izbirni projekt 1,9
34,Izbirni projekt 2,9
35,Izbirni projekt 3,9
36,Izbirni projekt 4,9

37,Osnovni pojmi verjetnosti,10
38,Diskretne porazdelitve,10
39,Zvezne porazdelitve,10
40,Pogojna verjetnost,10
41,Limite funkcij,11
42,Derivacije,11

43,Matrike,12
44,Vektorji,12

45,Spremenljivke,13
46,Zanke,13

47,Markovske verige,14
48,Poissonovi procesi,14

49,Modeli populacij,15
50,Simulacije,15

51,Linearno programiranje,16
52,Simpleks metoda,16

53,Newtonovi zakoni,17
54,Osnovna mehanika,17

55,Nihanje,18
56,Rezonanca,18

57,Valovanje,19
58,Interferenca,19

59,Integrali več spremenljivk,20
60,Taylorjeve vrste,20

61,Grafi,21
62,Logika in dokazi,21

63,Osnovna statistika,22
64,Porazdelitve,22
